Qiymet,Kategoriya,Mertebe,Otaq,Kupca,Seher
167 000,Yeni tikili,9 / 16,3,var,"Bakı şəhəri, Qara Qarayev prospekti"
54 000,Yeni tikili,1 / 15,2,var,"Xırdalan şəhəri, Hacı Zeynalabdin Tağıyev küç"
144 300,Yeni tikili,5 / 14,1,yoxdur,"Bakı şəhəri, Azadlıq prospekti "
150 000,Yeni tikili,7 / 20,4,var,"Bakı şəhəri, Yavər Əliyev küç"
285 000,Yeni tikili,2 / 5,4,var,"Bakı şəhəri, Əhəd Yaqubov küç."
110 000,Yeni tikili,3 / 12,2,var,"Bakı şəhəri, Elşən Süleymanov  küç."
68 000,Yeni tikili,4 / 13,2,var,"Bakı şəhəri, Saray qəs."
98 000,Yeni tikili,12 / 12,2,var,"Sumqayıt şəhəri, Sahil küç. 25"
76 000,Yeni tikili,8 / 12,2,var,"Xırdalan şəhəri, Heydər Əliyev pr"
139 000,Yeni tikili,7 / 20,2,yoxdur,"Bakı şəhəri, Yaşıl ada küç"
85 000,Yeni tikili,4 / 13,3,yoxdur,"Xırdalan şəhəri, Mehdi Hüseynzadə küç 313 "
126 000,Yeni tikili,15 / 20,3,var,"Bakı şəhəri, Gəncə prospekti"
136 000,Yeni tikili,6 / 16,3,var,"Bakı şəhəri, Əsəd Əhmədov 20"
155 000,Yeni tikili,15 / 17,3,var,"Bakı şəhəri, Q.Məmmədov küçəsi"
295 000,Yeni tikili,12 / 17,4,var,"Bakı şəhəri, Ali Mustafayev küç."
115 000,Yeni tikili,13 / 17,2,var,"Bakı şəhəri, ул Д Салимова"
123 000,Yeni tikili,14 / 22,3,yoxdur,"Bakı şəhəri, Moskva pr.8"
617 000,Yeni tikili,11 / 17,4,var,"Bakı şəhəri, Mirəli Seyidov 13"
155 000,Yeni tikili,14 / 17,2,var,"Bakı şəhəri, Azadlıq prospekti"
165 000,Yeni tikili,5 / 16,2,var,"Bakı şəhəri, Firdovsi Məmmədov küç."
240 000,Köhnə tikili,5 / 8,3,var,"Bakı şəhəri, Vaqif Prospekti 15"
109 000,Yeni tikili,13 / 20,2,yoxdur,"Bakı şəhəri, Gəncə prospekti "
65 000,Yeni tikili,4 / 7,2,var,"Bakı şəhəri, İnqlab ismayılov küç."
103 000,Köhnə tikili,4 / 5,3,var,"Bakı şəhəri, Abay Kunanbayev küç."
77 000,Yeni tikili,4 / 11,3,var,"Xırdalan şəhəri, Sumqayıt şossesi 7 km"
239 000,Yeni tikili,17 / 19,4,yoxdur,"Bakı şəhəri, Nəsibbəy Yusifbəyli küç."
175 000,Yeni tikili,9 / 17,3,var,"Bakı şəhəri, Məhəmməd Hadi 69"
135 000,Yeni tikili,13 / 17,3,var,"Bakı şəhəri, Məhəmməd Hadi küçəsi 23/24 "
155 000,Yeni tikili,10 / 15,3,yoxdur,"Bakı şəhəri, Cavadxan küçəsi "
90 000,Köhnə tikili,9 / 9,2,var,"Bakı şəhəri, Mir Cəlal küçəsi "
182 500,Yeni tikili,12 / 16,2,yoxdur,"Bakı şəhəri, Təbriz küç."
90 000,Köhnə tikili,3 / 5,2,var,"Bakı şəhəri, Mir Cəlal küç"
62 000,Köhnə tikili,3 / 9,1,var,"Bakı şəhəri, Xudu Məmmədov 9"
185 000,Yeni tikili,3 / 16,3,yoxdur,"Bakı şəhəri, Ramiz Quliyev küç."
105 000,Yeni tikili,4 / 6,3,var,"Bakı şəhəri, Masazır Novxanı yolu 76"
120 000,Yeni tikili,12 / 16,3,var,"Bakı şəhəri, M.Hadi küç.,"
75 000,Köhnə tikili,2 / 9,2,var,"Bakı şəhəri, Yeni Günəşli qəsəbəsi D massivi"
370 000,Yeni tikili,16 / 19,3,var,"Bakı şəhəri, Salatın Əsgərova küç"
164 000,Yeni tikili,15 / 19,2,var,"Bakı şəhəri, Babək pr 69. "
112 000,Yeni tikili,8 / 16,2,var,"Bakı şəhəri, Məhəmməd Hadi küç."
550 000,Yeni tikili,6 / 15,6,var,"Bakı şəhəri, Səməd Vurğun küç. 56"
154 000,Köhnə tikili,4 / 5,3,var,"Bakı şəhəri, Aşıq Molla Cümə küç."
139 000,Yeni tikili,8 / 9,3,var,"Bakı şəhəri, Qara Qarayev pr."
82 000,Köhnə tikili,3 / 5,3,var,"Bakı şəhəri, 20 Yanvar küçəsi"
76 000,Köhnə tikili,5 / 5,2,var,"Bakı şəhəri, Asif Məhərrəmov küç."
160 000,Köhnə tikili,8 / 9,3,var,"Bakı şəhəri, Ş. Mehtiyev küç. 79"
106 000,Yeni tikili,3 / 17,2,yoxdur,"Bakı şəhəri, Məhəmməd Hadi küç."
340 000,Yeni tikili,13 / 19,3,yoxdur,"Bakı şəhəri, Zahid Xəlilov küçəsi"
180 000,Yeni tikili,25 / 27,2,yoxdur,"Bakı şəhəri, Tiblisi prospekti "
178 000,Yeni tikili,10 / 14,3,var,"Bakı şəhəri, Qarayev prospekti "
115 000,Yeni tikili,15 / 17,2,var,"Bakı şəhəri, A.Ismayılov küç."
65 000,Köhnə tikili,4 / 4,1,var,"Bakı şəhəri, Zeynal Xəlil küç. "
72 000,Yeni tikili,14 / 18,2,var,"Bakı şəhəri, Rəşid Ismayilov küç."
125 000,Köhnə tikili,3 / 5,2,var,"Bakı şəhəri, Teymur Elçin küçəsi"
125 000,Köhnə tikili,9 / 9,3,var,"Bakı şəhəri, Mir Cəlal küçəsi "
85 000,Yeni tikili,10 / 11,2,var,"Bakı şəhəri, Dadaş Bünyadzadə küç."
167 000,Yeni tikili,6 / 19,2,var,"Bakı şəhəri, Babək pr"
110 000,Yeni tikili,6 / 10,2,yoxdur,"Bakı şəhəri, Qarabağ küçəsi"
120 000,Yeni tikili,10 / 17,2,var,"Bakı şəhəri, Qara Qarayev 18/55 m 30"
245 000,Yeni tikili,12 / 16,3,var,"Bakı şəhəri, Xocalı prospekti"
120 000,Yeni tikili,12 / 17,2,var,"Bakı şəhəri, Samir Cəfərov küçəsi"
400 000,Yeni tikili,5 / 15,4,var,"Bakı şəhəri, Xocalı pr."
85 000,Köhnə tikili,4 / 4,2,var,"Bakı şəhəri, Əlövsət Əbdülrəhimov küçəsi"
283 000,Yeni tikili,11 / 20,4,yoxdur,"Bakı şəhəri, Fəvvarələr 1 küç."
63 000,Yeni tikili,17 / 17,2,var,"Bakı şəhəri, Mir Cəlal küç"
360 000,Yeni tikili,7 / 12,4,var,"Bakı şəhəri, Aşıq Alı küç."
165 000,Yeni tikili,16 / 19,3,var,"Bakı şəhəri, Xudu Məmmədov küçəsi"
118 000,Köhnə tikili,3 / 5,3,var,"Bakı şəhəri, Qara Qarayev pr."
209 500,Yeni tikili,2 / 16,3,var,"Bakı şəhəri, S.Vəzirov küç. 18"
149 000,Yeni tikili,9 / 16,3,var,"Bakı şəhəri, Həsənbəy Zərdabi küç 75"
83 000,Yeni tikili,14 / 20,2,var,"Bakı şəhəri, Əsəd Əhmədov.küç."
129 000,Yeni tikili,8 / 13,3,yoxdur,"Bakı şəhəri, Ramiz Quliyev küçəsi "
142 000,Yeni tikili,7 / 11,2,var,"Bakı şəhəri, Mirəli Qaşqay küç. 5"
420 000,Yeni tikili,3 / 17,4,var,"Bakı şəhəri, İsmayıl Qutqaşınlı küç. "
221 000,Yeni tikili,9 / 16,3,var,"Bakı şəhəri, Mirəli Qaşqay küç 23"
370 000,Yeni tikili,6 / 15,3,yoxdur,"Bakı şəhəri, İ. Qutqaşanlı küç "
240 000,Yeni tikili,11 / 18,3,var,"Bakı şəhəri, Həsən Bəy Zərdabi 86"
185 000,Yeni tikili,12 / 16,3,yoxdur,"Bakı şəhəri, C.Səlimov küç."
181 900,Yeni tikili,6 / 12,3,var,"Bakı şəhəri, A.Salamzadə küç. 1059 "
350 000,Köhnə tikili,3 / 5,3,var,"Bakı şəhəri, Nizami küç."
137 000,Yeni tikili,13 / 15,2,var,"Bakı şəhəri, Serifzade kucesi"
205 000,Yeni tikili,5 / 17,3,yoxdur,"Bakı şəhəri, Mirəli Qaşqay k."
300 000,Yeni tikili,11 / 17,3,var,"Bakı şəhəri, Abbas Mirzə Şərifzadə küç, ev 215, m 73"
114 000,Yeni tikili,10 / 18,2,yoxdur,"Bakı şəhəri, Elşən Süleymanov  küç."
145 000,Yeni tikili,17 / 20,2,var,"Bakı şəhəri, Cəfər Cabbarlı küç 43"
376 000,Yeni tikili,4 / 6,3,var,"Bakı şəhəri, Yaşıl ada 1 küç."
95 000,Köhnə tikili,3 / 5,2,var,"Bakı şəhəri, Həsən bəy Zərdabi prospekti"
175 000,Yeni tikili,8 / 17,4,yoxdur,"Bakı şəhəri, Əliyar Əliyev küç."
415 000,Yeni tikili,13 / 16,4,var,"Bakı şəhəri, Nəcəfqulu Rəfiyev küç."
101 000,Yeni tikili,3 / 16,2,yoxdur,"Bakı şəhəri, Şirin Mirzəyev küç"
499 000,Yeni tikili,10 / 20,3,var,"Bakı şəhəri, 8 Noyabr prospekti"
161 700,Yeni tikili,14 / 17,3,var,"Bakı şəhəri, Əlif Hacıyev küç 25/34 m 113"
283 000,Yeni tikili,2 / 5,4,var,"Bakı şəhəri, Bayıl qəsəbəsi"
130 000,Yeni tikili,7 / 17,3,var,"Bakı şəhəri, Qara Qarayev prospekti "
149 000,Yeni tikili,7 / 12,2,yoxdur,"Bakı şəhəri, Özbəkistan küç. "
